OrderID,CustomerID,WarehouseID,PartnerID,RouteID,OrderDate,DispatchDate,ExpectedDeliveryDate,ActualDeliveryDate,DispatchDelay_hrs,Delay_Days,Is_Late,SLA_Breached,DeliveryStatus,DeliveryAttempts,PackageCategory,PackageWeight_kg,OrderValue_INR,VehicleType,TimeOfDispatch,WeatherCondition,DriverExperience_yrs,PaymentMode,IsReturnOrder,IsWeekendOrder,CustomerFeedbackScore,NDR_Raised,ShippingCost_INR,OrderPriority
ORD000041,CUST0456,WH009,DP003,RT057,02-01-2023,05-01-2023,10-01-2023,10-01-2023,74,0,0,0,Returned,1,Appliances,9.86,8637.33,Bike,Afternoon,Clear,14,COD,1,0,4.4,0,508.15,Standard
ORD000042,CUST0286,WH008,DP005,RT003,02-01-2023,03-01-2023,06-01-2023,06-01-2023,31,0,0,0,Returned,1,Books,0.84,497.49,Truck,Night,Storm,3,COD,1,0,1.8,0,62.36,Express
ORD000043,CUST0036,WH010,DP001,RT034,02-01-2023,03-01-2023,07-01-2023,07-01-2023,32,0,0,0,Delivered,1,Books,0.48,552.87,Van,Morning,Rain,12,COD,0,0,4.5,0,94.05,Standard
ORD000044,CUST0306,WH010,DP002,RT003,02-01-2023,02-01-2023,05-01-2023,04-01-2023,16,-1,0,0,Delivered,1,Appliances,5.97,6030.05,Truck,Morning,Rain,11,Prepaid,0,0,3.8,0,473.59,Express
ORD000045,CUST0398,WH003,DP004,RT041,02-01-2023,02-01-2023,06-01-2023,06-01-2023,2,0,0,0,Delivered,1,Books,0.82,724.29,Bike,Afternoon,Fog,15,Prepaid,0,0,3.8,0,130.08,Standard
ORD000046,CUST0285,WH001,DP001,RT029,02-01-2023,02-01-2023,06-01-2023,06-01-2023,10,0,0,0,Delivered,1,Clothing,0.92,1069.25,Bike,Afternoon,Clear,4,Prepaid,0,0,4,0,83.77,Standard
ORD000047,CUST0411,WH004,DP005,RT040,02-01-2023,03-01-2023,07-01-2023,06-01-2023,43,-1,0,0,Returned,1,Sports,3.67,2891.69,Van,Morning,Clear,15,Prepaid,1,0,4.7,0,265.74,Standard
ORD000048,CUST0373,WH012,DP006,RT019,02-01-2023,03-01-2023,08-01-2023,10-01-2023,45,2,1,1,Delivered,2,Toys,1.56,726.22,Truck,Evening,Storm,15,Prepaid,0,0,1.1,0,160.47,Standard
ORD000049,CUST0256,WH007,DP002,RT020,02-01-2023,02-01-2023,07-01-2023,09-01-2023,1,2,1,1,Delivered,1,Books,0.45,608.39,Bike,Morning,Clear,14,COD,0,0,1.2,0,77.4,Express
ORD000050,CUST0178,WH009,DP005,RT021,02-01-2023,04-01-2023,09-01-2023,14-01-2023,58,5,1,1,Delivered,1,Clothing,1.18,919.96,Bike,Morning,Rain,6,COD,1,0,1.5,1,111.51,Express
ORD000051,CUST0036,WH011,DP004,RT020,02-01-2023,03-01-2023,08-01-2023,08-01-2023,31,0,0,0,Delivered,1,FMCG,2.33,686.85,Truck,Afternoon,Clear,5,Wallet,0,0,3.1,0,163.33,Standard
ORD000052,CUST0254,WH012,DP003,RT028,02-01-2023,04-01-2023,08-01-2023,10-01-2023,62,2,1,1,Delivered,1,FMCG,2.03,168.22,Bike,Morning,Rain,1,Prepaid,0,0,2.9,0,162.19,Standard
ORD000053,CUST0162,WH007,DP002,RT047,02-01-2023,02-01-2023,07-01-2023,NULL,19,NULL,1,1,Failed,3,Electronics,5.93,16172.81,Van,Morning,Clear,6,COD,0,0,NULL,1,272.42,Standard
ORD000054,CUST0021,WH007,DP008,RT027,02-01-2023,03-01-2023,05-01-2023,11-01-2023,38,6,1,1,Delivered,2,FMCG,1.41,523.84,Bike,Evening,Clear,9,COD,0,0,3.4,1,118.05,Standard
ORD000055,CUST0294,WH011,DP003,RT044,02-01-2023,03-01-2023,07-01-2023,12-01-2023,38,5,1,1,Delivered,2,Electronics,4.01,13720.79,Bike,Evening,Clear,9,Prepaid,0,0,3.1,1,167.95,Express
ORD000056,CUST0075,WH010,DP002,RT046,02-01-2023,03-01-2023,08-01-2023,08-01-2023,38,0,0,0,Delivered,1,FMCG,2.06,675.19,Bike,Morning,Clear,9,COD,0,0,3.4,0,240.08,Express
ORD000057,CUST0481,WH009,DP005,RT050,02-01-2023,04-01-2023,08-01-2023,10-01-2023,55,2,1,1,Delivered,3,Electronics,2.66,13436.77,Van,Afternoon,Clear,9,COD,0,0,3.3,1,230.64,Same-Day
ORD000058,CUST0207,WH008,DP004,RT059,02-01-2023,02-01-2023,08-01-2023,09-01-2023,1.7,1,1,1,Delivered,1,Grocery,2.37,772.74,Truck,Afternoon,Clear,3,COD,0,0,1.7,0,255.05,Same-Day
ORD000059,CUST0460,WH008,DP006,RT025,02-01-2023,02-01-2023,04-01-2023,04-01-2023,4,0,0,0,Delivered,1,Clothing,0.71,1074.85,Bike,Afternoon,Clear,2,Prepaid,0,0,3.6,0,95.58,Standard
ORD000060,CUST0472,WH004,DP008,RT002,02-01-2023,02-01-2023,04-01-2023,05-01-2023,12,1,1,1,Delivered,1,FMCG,2.51,191.7,Bike,Morning,Clear,4,Prepaid,0,0,3,0,222.6,Standard
ORD000061,CUST0178,WH011,DP001,RT053,03-01-2023,04-01-2023,09-01-2023,08-01-2023,45,-1,0,0,Delivered,1,Electronics,3.54,5805.28,Truck,Afternoon,Clear,13,COD,0,0,4.1,0,320.66,Express
ORD000062,CUST0382,WH008,DP005,RT043,03-01-2023,03-01-2023,07-01-2023,09-01-2023,4,2,1,1,Delivered,1,Clothing,1.3,706.2,Van,Evening,Rain,7,COD,1,0,2,0,91.15,Same-Day
ORD000063,CUST0037,WH003,DP008,RT057,03-01-2023,03-01-2023,08-01-2023,11-01-2023,2,3,1,1,Delivered,1,Sports,2.41,2221.68,Truck,Evening,Clear,9,Prepaid,0,0,3.5,1,168.79,Standard
ORD000064,CUST0459,WH003,DP004,RT024,03-01-2023,04-01-2023,08-01-2023,NULL,25,NULL,1,1,Failed,2,Electronics,5.22,4423.19,Bike,Night,Fog,6,Prepaid,0,0,NULL,1,359.13,Express
ORD000065,CUST0120,WH011,DP005,RT033,03-01-2023,03-01-2023,08-01-2023,08-01-2023,0,0,0,0,Delivered,1,Books,0.47,715.82,Bike,Morning,Clear,14,Prepaid,1,0,3.7,0,67.79,Standard
ORD000066,CUST0403,WH008,DP003,RT019,03-01-2023,03-01-2023,08-01-2023,11-01-2023,6,3,1,1,Delivered,1,Electronics,2.61,7248.16,Van,Evening,Fog,5,COD,0,0,3.4,1,124.8,Standard
ORD000067,CUST0118,WH005,DP003,RT026,03-01-2023,04-01-2023,06-01-2023,05-01-2023,30,-1,0,0,Delivered,1,FMCG,1.98,485.71,Van,Night,Clear,15,Wallet,0,0,4.8,0,147.02,Standard
ORD000068,CUST0001,WH002,DP005,RT046,03-01-2023,04-01-2023,09-01-2023,09-01-2023,26,0,0,0,Delivered,1,Sports,4.05,1082.78,Van,Morning,Clear,6,Prepaid,0,0,4.6,0,260.12,Standard
ORD000069,CUST0209,WH008,DP008,RT041,03-01-2023,03-01-2023,07-01-2023,08-01-2023,20,1,1,1,Delivered,2,Appliances,5.53,5111.62,Van,Afternoon,Fog,14,Prepaid,0,0,2.5,0,406.93,Express
ORD000070,CUST0424,WH002,DP001,RT003,03-01-2023,03-01-2023,06-01-2023,05-01-2023,2,-1,0,0,Delivered,1,FMCG,2.16,350.51,Van,Night,Rain,1,COD,0,0,4.6,0,170.59,Express
ORD000071,CUST0311,WH006,DP003,RT027,03-01-2023,04-01-2023,06-01-2023,06-01-2023,30,0,0,0,Delivered,1,Beauty,0.43,1171.51,Van,Morning,Rain,14,Wallet,0,0,3.5,0,95.59,Standard
ORD000072,CUST0208,WH008,DP007,RT014,03-01-2023,03-01-2023,08-01-2023,09-01-2023,6,1,1,1,Delivered,4,Toys,1.67,780.55,Bike,Afternoon,Clear,12,COD,0,0,2.3,1,223.66,Standard
ORD000073,CUST0154,WH007,DP001,RT020,03-01-2023,04-01-2023,09-01-2023,09-01-2023,37,0,0,0,Delivered,1,Clothing,1.39,358.23,Van,Morning,Clear,6,COD,0,0,4.7,0,167.74,Standard
ORD000074,CUST0250,WH013,DP005,RT035,03-01-2023,04-01-2023,09-01-2023,08-01-2023,38,-1,0,0,Delivered,1,Beauty,0.67,1132.24,Bike,Afternoon,Clear,2,Prepaid,1,0,4.1,0,82.98,Standard
ORD000075,CUST0171,WH001,DP003,RT023,03-01-2023,03-01-2023,07-01-2023,08-01-2023,10,1,1,1,Returned,1,Books,0.67,482.25,Van,Evening,Clear,1,COD,1,0,1.5,0,136.47,Express
ORD000076,CUST0315,WH004,DP003,RT025,03-01-2023,03-01-2023,05-01-2023,04-01-2023,8,-1,0,0,Delivered,1,Electronics,4.19,13936.9,Bike,Morning,Clear,12,Prepaid,1,0,4.2,0,328.1,Standard
ORD000077,CUST0307,WH001,DP002,RT004,03-01-2023,04-01-2023,06-01-2023,06-01-2023,39,0,0,0,Delivered,1,Grocery,5.31,908.62,Van,Morning,Fog,10,COD,0,0,4.8,0,455.76,Standard
ORD000078,CUST0107,WH003,DP002,RT057,03-01-2023,04-01-2023,09-01-2023,14-01-2023,42,5,1,1,Delivered,2,Electronics,5.28,16090.39,Van,Afternoon,Heatwave,12,Prepaid,0,0,3.1,1,180.12,Standard
ORD000079,CUST0143,WH002,DP003,RT002,03-01-2023,03-01-2023,05-01-2023,05-01-2023,11,0,0,0,Returned,1,FMCG,1.5,627.9,Van,Afternoon,Clear,4,COD,1,0,2.3,0,174.17,Standard
ORD000080,CUST0008,WH009,DP003,RT002,03-01-2023,04-01-2023,06-01-2023,07-01-2023,47,1,1,1,Delivered,2,FMCG,1.64,438.06,Truck,Evening,Fog,5,Prepaid,0,0,2.2,0,144.46,Standard
ORD000081,CUST0094,WH004,DP003,RT025,03-01-2023,03-01-2023,05-01-2023,04-01-2023,18,-1,0,0,Delivered,1,Books,0.61,656.14,Truck,Morning,Fog,1,Wallet,0,0,4.4,0,100.76,Standard
ORD000082,CUST0398,WH013,DP002,RT047,03-01-2023,04-01-2023,09-01-2023,09-01-2023,31,0,0,0,Delivered,1,Books,0.7,849.64,Van,Night,Clear,11,COD,0,0,4.8,0,89.83,Standard
ORD000083,CUST0097,WH001,DP003,RT023,03-01-2023,04-01-2023,08-01-2023,08-01-2023,47,0,0,0,Returned,1,Clothing,0.82,1367.75,Bike,Evening,Rain,3,Wallet,1,0,4.6,0,97.61,Standard
ORD000084,CUST0490,WH008,DP008,RT021,03-01-2023,03-01-2023,08-01-2023,12-01-2023,5,4,1,1,Delivered,2,Clothing,1.15,1034.91,Van,Morning,Clear,14,COD,0,0,3.3,1,150.88,Standard
ORD000085,CUST0007,WH014,DP003,RT053,03-01-2023,03-01-2023,08-01-2023,08-01-2023,16,0,0,0,Delivered,1,Electronics,4.67,5365.96,Bike,Morning,Rain,9,COD,0,0,3.8,0,427.53,Same-Day
ORD000086,CUST0274,WH002,DP003,RT045,03-01-2023,04-01-2023,07-01-2023,09-01-2023,40,2,1,1,Delivered,3,Electronics,4.13,19675.22,Bike,Night,Clear,15,COD,0,0,1.1,1,199.44,Standard
ORD000087,CUST0012,WH006,DP001,RT025,03-01-2023,04-01-2023,06-01-2023,05-01-2023,31,-1,0,0,Delivered,1,Beauty,0.8,475.49,Van,Evening,Heatwave,12,Wallet,0,0,4.2,0,55.59,Standard
ORD000088,CUST0002,WH009,DP003,RT027,03-01-2023,05-01-2023,07-01-2023,08-01-2023,61,1,1,1,Delivered,3,Toys,2.05,977.21,Van,Afternoon,Rain,9,Prepaid,0,0,2.4,1,188.6,Standard
ORD000089,CUST0434,WH008,DP006,RT052,03-01-2023,03-01-2023,08-01-2023,08-01-2023,8,0,0,0,Delivered,1,FMCG,1.94,234.21,Van,Afternoon,Rain,9,COD,0,0,4.8,0,205.34,Standard
ORD000090,CUST0349,WH007,DP003,RT011,03-01-2023,03-01-2023,07-01-2023,09-01-2023,18,2,1,1,Delivered,2,Electronics,5.5,6665.81,Van,Morning,Storm,2,Prepaid,0,0,2.4,0,214.21,Standard
ORD000091,CUST0405,WH004,DP005,RT014,03-01-2023,04-01-2023,09-01-2023,09-01-2023,31,0,0,0,Delivered,1,FMCG,1.43,627.47,Van,Evening,Rain,14,Prepaid,0,0,3.2,0,157,Same-Day
ORD000092,CUST0007,WH009,DP004,RT017,03-01-2023,04-01-2023,09-01-2023,14-01-2023,38,5,1,1,Delivered,3,Clothing,0.63,453.92,Bike,Morning,Clear,14,Prepaid,0,0,2.7,1,102.89,Express
ORD000093,CUST0500,WH008,DP001,RT054,03-01-2023,03-01-2023,08-01-2023,08-01-2023,12,0,0,0,Delivered,1,Toys,2.09,703,Van,Afternoon,Fog,10,Prepaid,0,0,3.4,0,136.91,Standard
ORD000094,CUST0475,WH002,DP002,RT015,03-01-2023,03-01-2023,08-01-2023,13-01-2023,6,5,1,1,Delivered,2,Electronics,5.14,6743.86,Truck,Morning,Heatwave,8,Prepaid,0,0,2.3,1,350.42,Standard
ORD000095,CUST0012,WH014,DP005,RT046,03-01-2023,03-01-2023,08-01-2023,08-01-2023,21,0,0,0,Delivered,1,FMCG,2.79,372.11,Van,Afternoon,Heatwave,9,Prepaid,0,0,3.2,0,158.17,Standard
ORD000096,CUST0340,WH007,DP004,RT051,04-01-2023,05-01-2023,09-01-2023,09-01-2023,45,0,0,0,Delivered,1,Books,0.53,661.28,Bike,Afternoon,Clear,13,COD,0,0,3.9,0,113.74,Standard
ORD000097,CUST0057,WH007,DP005,RT031,04-01-2023,04-01-2023,09-01-2023,08-01-2023,12,-1,0,0,Delivered,1,Grocery,2.71,715.07,Truck,Afternoon,Clear,7,Prepaid,1,0,3.1,0,206.95,Standard
ORD000098,CUST0078,WH011,DP003,RT034,04-01-2023,04-01-2023,08-01-2023,10-01-2023,13,2,1,1,Returned,1,Electronics,3.91,15595.13,Bike,Afternoon,Fog,13,Wallet,1,0,2.5,0,262.24,Standard
ORD000099,CUST0074,WH008,DP002,RT036,04-01-2023,05-01-2023,09-01-2023,10-01-2023,30,1,1,1,Delivered,2,Electronics,4.75,15628.99,Van,Morning,Heatwave,10,Prepaid,0,0,3,0,233.67,Standard
ORD000100,CUST0233,WH001,DP006,RT057,04-01-2023,04-01-2023,09-01-2023,09-01-2023,17,0,0,0,Delivered,1,Grocery,4.19,202.4,Bike,Morning,Clear,6,COD,0,0,3.2,0,292.96,Express
ORD000101,CUST0279,WH007,DP003,RT040,04-01-2023,04-01-2023,08-01-2023,08-01-2023,20,0,0,0,Delivered,1,FMCG,1.77,560.72,Truck,Morning,Fog,8,Prepaid,0,0,4.4,0,122.25,Express
ORD000102,CUST0030,WH010,DP005,RT044,04-01-2023,04-01-2023,08-01-2023,08-01-2023,16,0,0,0,Delivered,1,Toys,1.43,1495.32,Van,Evening,Clear,7,Prepaid,0,0,4.3,0,182.67,Standard
ORD000103,CUST0367,WH009,DP003,RT013,04-01-2023,04-01-2023,08-01-2023,10-01-2023,10,2,1,1,Delivered,2,Toys,1.59,499.38,Bike,Morning,Fog,15,Prepaid,0,0,2,0,175.77,Standard
ORD000104,CUST0314,WH014,DP007,RT061,04-01-2023,04-01-2023,08-01-2023,14-01-2023,18,6,1,1,Delivered,1,Clothing,1.4,812.55,Van,Evening,Fog,14,Wallet,0,0,2.5,1,143.89,Express
ORD000105,CUST0095,WH001,DP008,RT055,04-01-2023,04-01-2023,09-01-2023,11-01-2023,8,2,1,1,Delivered,2,Clothing,1.04,394.38,Bike,Night,Clear,12,Wallet,0,0,3.3,0,80.39,Express
ORD000106,CUST0308,WH004,DP004,RT018,04-01-2023,05-01-2023,10-01-2023,13-01-2023,42,3,1,1,Delivered,2,Clothing,1.07,529,Bike,Evening,Heatwave,10,Prepaid,1,0,2.3,1,101.66,Express
ORD000107,CUST0056,WH007,DP004,RT017,04-01-2023,04-01-2023,09-01-2023,09-01-2023,4,0,0,0,Delivered,1,Toys,1.85,1183.6,Van,Morning,Clear,6,COD,0,0,3.5,0,82.79,Express
ORD000108,CUST0010,WH008,DP006,RT045,04-01-2023,05-01-2023,08-01-2023,07-01-2023,33,-1,0,0,Delivered,1,Beauty,0.7,262.01,Van,Morning,Clear,13,Prepaid,0,0,4.1,0,80.55,Standard
ORD000109,CUST0403,WH004,DP003,RT044,04-01-2023,05-01-2023,09-01-2023,09-01-2023,39,0,0,0,Delivered,1,Sports,2.81,828,Bike,Night,Fog,8,COD,0,0,3.5,0,188.64,Express
ORD000110,CUST0147,WH010,DP006,RT039,04-01-2023,05-01-2023,08-01-2023,08-01-2023,24,0,0,0,Delivered,1,FMCG,2.7,200.95,Van,Afternoon,Clear,3,Prepaid,0,0,4.8,0,170.89,Express
ORD000111,CUST0364,WH002,DP003,RT028,04-01-2023,04-01-2023,08-01-2023,08-01-2023,17,0,0,0,Delivered,1,Clothing,1.25,449.45,Van,Afternoon,Fog,5,Prepaid,0,0,4.4,0,113.03,Standard
ORD000112,CUST0087,WH001,DP001,RT026,04-01-2023,05-01-2023,07-01-2023,07-01-2023,35,0,0,0,Delivered,1,FMCG,2.8,179.87,Bike,Morning,Fog,14,Prepaid,0,0,3.7,0,208.75,Same-Day
ORD000113,CUST0253,WH013,DP007,RT048,04-01-2023,05-01-2023,08-01-2023,08-01-2023,36,0,0,0,Delivered,1,Appliances,6.33,10344.92,Van,Morning,Rain,9,Prepaid,0,0,4.4,0,460.24,Standard
ORD000114,CUST0187,WH005,DP005,RT014,04-01-2023,04-01-2023,09-01-2023,09-01-2023,21,0,0,0,Delivered,1,Beauty,0.68,428.6,Van,Evening,Clear,6,Prepaid,0,0,3.7,0,133.3,Standard
ORD000115,CUST0428,WH013,DP003,RT037,04-01-2023,04-01-2023,07-01-2023,07-01-2023,7,0,0,0,Delivered,1,Clothing,1.01,1335.12,Van,Morning,Clear,1,Prepaid,0,0,3.1,0,87.33,Standard
